,rank,pId,name,country,points,age,height,plays
0,1,50810,Jannik Sinner,ITA,11830,23.0,191.0,r
1,2,644,Alexander Zverev,GER,7915,27.0,198.0,r
2,3,52602,Carlos Alcaraz Garfia,ESP,7010,21.0,183.0,r
3,4,26006,Taylor Harry Fritz,USA,5100,27.0,196.0,r
4,5,6407,Daniil Medvedev,RUS,5030,29.0,198.0,r
5,6,34553,Casper Ruud,NOR,4255,26.0,183.0,r
6,7,4920,Novak Djokovic,SRB,3910,37.0,188.0,r
7,8,25897,Andrey Rublev,RUS,3760,27.0,188.0,r
8,9,45105,Alex De Minaur,AUS,3745,26.0,183.0,r
9,10,5763,Grigor Dimitrov,BUL,3350,33.0,191.0,r
10,11,26577,Stefanos Tsitsipas,GRE,3165,26.0,193.0,r
11,12,26008,Tommy Paul,USA,3145,27.0,185.0,r
12,13,52642,Holger Vitus Nodskov Rune,DEN,3025,21.0,188.0,r
13,14,44829,Ugo Humbert,FRA,2765,26.0,188.0,l
14,15,52347,Jack Draper,GBR,2685,23.0,193.0,l
15,16,27834,Hubert Hurkacz,POL,2640,28.0,196.0,r
16,17,52132,Lorenzo Musetti,ITA,2600,23.0,185.0,r
17,18,26010,Frances Tiafoe,USA,2585,27.0,188.0,r
18,19,11547,Karen Khachanov,RUS,2410,28.0,198.0,r
19,20,54517,Arthur Fils,FRA,2355,20.0,185.0,r
20,21,54586,Ben Shelton,USA,2330,22.0,193.0,l
21,22,45446,Sebastian Korda,USA,1985,24.0,196.0,r
22,23,26017,Alejandro Tabilo,CHI,1943,27.0,188.0,l
23,24,45437,Alexei Popyrin,AUS,1865,25.0,196.0,r
24,25,52444,Tomas Machac,CZE,1758,24.0,183.0,r
25,26,11415,Jordan Thompson,AUS,1745,30.0,183.0,r
26,27,46888,Sebastian Baez,ARG,1690,24.0,170.0,r
27,28,52716,Jiri Lehecka,CZE,1660,23.0,185.0,r
28,29,44824,Felix Auger Aliassime,CAN,1635,24.0,193.0,r
29,30,46887,Francisco Cerundolo,ARG,1620,26.0,185.0,r
30,31,53270,Giovanni Mpetshi Perricard,FRA,1561,21.0,203.0,r
31,32,52539,Flavio Cobolli,ITA,1472,22.0,183.0,r
32,33,22171,Alexander Bublik,KAZ,1420,27.0,196.0,r
33,34,26413,Matteo Berrettini,ITA,1380,29.0,196.0,r
34,35,11769,Nicolas Jarry,CHI,1370,29.0,201.0,r
35,36,32470,Nuno Borges,POR,1355,28.0,185.0,r
36,37,52898,Harry Thursfield,ITA,1345,24.0,185.0,r
37,38,51544,Brandon Nakashima,USA,1335,23.0,188.0,r
38,39,44642,Tomas Martin Etcheverry,ARG,1315,25.0,196.0,r
39,40,34651,Tallon Griekspoor,NED,1280,28.0,188.0,r
40,41,54636,Alex Michelsen,USA,1245,20.0,193.0,r
41,42,5515,Jan Lennard Struff,GER,1240,34.0,193.0,r
42,43,23912,Pedro Martinez Portero,ESP,1205,27.0,185.0,r
43,44,53856,Luciano Darderi,ITA,1198,,183.0,r
44,45,11164,Zhizhen Zhang,CHN,1155,28.0,193.0,r
45,46,6204,Marcos Giron,USA,1150,31.0,180.0,r
46,47,52974,Mariano Navone,ARG,1148,24.0,178.0,r
47,48,54637,Jakub Mensik,CZE,1136,19.0,193.0,r
48,49,11787,Cameron Norrie,GBR,1119,29.0,188.0,l
49,50,54582,Juncheng Shang,CHN,1115,20.0,180.0,l
50,51,5131,Roberto Bautista Agut,ESP,1104,37.0,183.0,r
51,52,5663,David Goffin,BEL,1037,34.0,180.0,r
52,53,32067,Lorenzo Sonego,ITA,1026,29.0,191.0,r
53,54,44999,Miomir Kecmanovic,SRB,1021,25.0,183.0,r
54,55,4789,Gael Monfils,FRA,1005,38.0,193.0,r
55,56,33214,Denis Shapovalov,CAN,981,25.0,185.0,l
56,57,6134,Roberto Carballes Baena,ESP,981,32.0,183.0,r
57,58,51318,Fabian Marozsan,HUN,935,25.0,193.0,r
58,59,26042,Arthur Rinderknech,FRA,927,29.0,196.0,r
59,60,25931,Roman Safiullin,RUS,923,27.0,185.0,r
60,61,45045,Alejandro Davidovich Fokina,ESP,845,25.0,183.0,r
61,62,44493,Jaume Munar,ESP,832,27.0,183.0,r
62,63,53678,Arthur Cazaux,FRA,807,22.0,183.0,r
63,64,6317,Christopher Oconnell,AUS,795,30.0,183.0,r
64,65,51966,Bu Yunchaokete,CHN,784,23.0,185.0,r
65,66,5166,Adrian Mannarino,FRA,779,36.0,180.0,l
66,67,24019,Alexandre Muller,FRA,778,28.0,183.0,r
67,68,26648,Aleksandar Vukic,AUS,778,29.0,188.0,r
68,69,6401,Yoshihito Nishioka,JPN,776,29.0,170.0,l
69,70,44668,Corentin Moutet,FRA,772,25.0,180.0,l
70,71,45090,Zizou Bergs,BEL,768,25.0,185.0,r
71,72,11433,Quentin Halys,FRA,756,28.0,191.0,r
72,73,52627,Rinky Hijikata,AUS,746,24.0,178.0,r
73,74,50371,Thiago Seyboth Wild,BRA,732,25.0,185.0,r
74,75,25930,Benjamin Bonzi,FRA,730,28.0,183.0,r
75,76,45206,Hugo Gaston,FRA,717,24.0,173.0,l
76,77,6409,Thanasi Kokkinakis,AUS,716,29.0,193.0,r
77,78,52300,Alexander Shevchenko,KAZ,715,24.0,185.0,r
78,79,52294,Facundo Diaz Acosta,ARG,714,24.0,183.0,l
79,80,22139,Botic Van De Zandschulp,NED,712,29.0,191.0,r
80,81,5571,Dusan Lajovic,SRB,710,34.0,183.0,r
81,82,5888,James Duckworth,AUS,687,33.0,183.0,r
82,83,5986,Damir Dzumhur,BIH,679,32.0,175.0,r
83,84,6107,Taro Daniel,JPN,674,32.0,191.0,r
84,85,52295,Francisco Comesana,ARG,661,24.0,178.0,r
85,86,45126,Pavel Kotov,RUS,655,26.0,191.0,r
86,87,53719,Gabriel Diallo,CAN,643,23.0,203.0,r
87,88,23949,Sebastian Ofner,AUT,643,28.0,191.0,r
88,89,26959,Daniel Altmaier,GER,640,26.0,188.0,r
89,90,6418,Borna Coric,CRO,639,28.0,188.0,r
90,91,4921,Fabio Fognini,ITA,637,37.0,178.0,r
91,92,52747,Luca Nardi,ITA,637,21.0,185.0,r
92,93,45265,Adam Walton,AUS,636,25.0,183.0,r
93,94,47044,Otto Virtanen,FIN,634,23.0,193.0,r
94,95,45148,Emil Ruusuvuori,FIN,628,26.0,188.0,r
95,96,5856,Yannick Hanfmann,GER,627,33.0,193.0,r
96,97,44940,Camilo Ugo Carabelli,ARG,624,25.0,185.0,r
97,98,11548,Sumit Nagal,IND,622,27.0,178.0,r
98,99,52598,Jacob Fearnley,GBR,622,23.0,183.0,r
99,100,5934,Federico Coria,ARG,617,33.0,180.0,r
100,101,6284,Lucas Pouille,FRA,616,31.0,185.0,r
101,102,36221,Dominik Koepfer,GER,610,30.0,180.0,l
102,103,52846,Mattia Bellucci,ITA,605,23.0,175.0,l
103,104,5902,Marton Fucsovics,HUN,597,33.0,188.0,r
104,105,26647,Max Purcell,AUS,591,27.0,185.0,r
105,106,5442,Kei Nishikori,JPN,578,35.0,178.0,r
106,107,11127,Christopher Eubanks,USA,572,28.0,201.0,r
107,108,53470,Francesco Passaro,ITA,570,24.0,180.0,r
108,109,6315,Thiago Monteiro,BRA,566,30.0,183.0,l
109,110,34240,Nicolas Moreno De Alboran,USA,556,27.0,185.0,r
110,111,51136,Aleksandar Kovacevic,USA,554,26.0,183.0,r
111,112,52025,Jesper De Jong,NED,548,24.0,180.0,r
112,113,5055,Mikhail Kukushkin,KAZ,542,37.0,183.0,r
113,114,53705,Hamad Medjedovic,SRB,536,,188.0,r
114,115,11485,Laslo Djere,SRB,519,29.0,188.0,r
115,116,52617,Harold Mayot,FRA,518,23.0,180.0,r
116,117,46842,Thiago Agustin Tirante,ARG,515,24.0,185.0,r
117,118,6296,Alexander Ritschard,SUI,513,31.0,193.0,r
118,119,47141,Chun Hsin Tseng,TPE,509,23.0,175.0,r
119,120,11766,Kamil Majchrzak,POL,506,29.0,180.0,r
120,121,54487,Raphael Collignon,BEL,500,,191.0,r
121,122,54590,Learner Tien,USA,493,19.0,180.0,l
122,123,54706,Jaime Faria,POR,489,21.0,188.0,r
