tourney_id,matchId,tourney_name,surface,winner_id,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
9900,ms011,United Cup,Hard,fb98,3,138,13,3,96,62,51,20,17,0,1,17,0,96,64,51,20,17,1,2
9900,ms021,United Cup,Hard,fb98,3,111,15,3,79,57,43,9,11,8,10,5,2,79,52,35,14,12,1,4
9900,ms031,United Cup,Hard,hb71,3,58,10,0,46,35,28,8,9,0,0,1,1,49,34,18,9,8,1,4
9900,ms051,United Cup,Hard,m0fh,3,54,9,2,43,27,23,11,8,0,0,1,4,35,19,10,6,7,0,4
9900,ms071,United Cup,Hard,hb71,3,105,18,0,67,51,45,9,12,3,3,7,2,79,54,42,12,12,2,3
9900,ms041,United Cup,Hard,fb98,3,79,8,1,44,33,30,10,10,0,0,8,0,72,48,36,9,10,7,9
9900,ms061,United Cup,Hard,s0h2,3,133,11,3,84,57,42,16,14,4,5,4,2,104,72,44,15,14,8,13
9900,ms211,United Cup,Hard,m0fh,3,115,8,5,83,52,43,14,15,2,3,14,3,85,55,40,21,16,3,5
9900,ms611,United Cup,Hard,dh58,3,76,6,2,40,19,17,13,7,3,3,3,1,56,36,17,9,8,2,7
9900,ms121,United Cup,Hard,fb98,3,91,5,1,56,28,22,17,9,2,2,3,5,54,27,19,11,8,4,7
9900,ms411,United Cup,Hard,c0e9,3,126,11,0,89,57,41,21,14,2,4,10,2,83,46,36,24,15,1,4
9900,ms221,United Cup,Hard,rh16,3,83,4,0,61,44,34,12,11,2,2,8,0,58,40,28,8,10,4,6
9900,ms311,United Cup,Hard,s0h2,3,112,2,3,70,45,31,19,11,1,2,7,4,77,42,30,16,11,2,4
9900,ms511,United Cup,Hard,z355,3,125,6,3,66,47,36,8,11,3,5,3,1,78,48,31,11,11,4,9
9900,ms621,United Cup,Hard,ea24,3,164,10,1,93,61,44,18,13,8,9,9,4,90,50,37,18,13,6,9
9900,ms111,United Cup,Hard,ag37,3,139,19,4,89,59,47,15,16,2,4,13,1,92,58,42,16,15,1,4
9900,ms421,United Cup,Hard,c0e9,3,89,5,3,67,36,27,22,10,5,5,6,0,62,45,33,7,11,0,2
9900,ms231,United Cup,Hard,rh16,3,174,12,6,116,75,56,19,17,6,9,7,13,111,70,50,17,17,2,5
9900,ms531,United Cup,Hard,z355,3,77,11,3,51,32,29,11,10,0,0,5,1,53,32,24,11,10,2,4
9900,ms321,United Cup,Hard,te51,3,128,13,6,84,49,40,19,15,1,3,2,3,92,70,48,9,14,6,9
9900,ms131,United Cup,Hard,cg80,3,139,1,6,81,40,26,17,13,5,10,13,3,90,67,43,11,13,8,12
9900,ms431,United Cup,Hard,hh26,3,72,10,2,51,34,30,10,11,0,1,10,1,56,34,27,10,10,1,4
9900,ms631,United Cup,Hard,dh58,3,76,8,2,51,26,23,15,9,0,0,2,1,47,28,20,7,8,3,6
9900,ms521,United Cup,Hard,z371,3,54,10,0,39,30,26,7,8,0,0,3,2,35,22,13,3,7,1,5
9900,ms331,United Cup,Hard,cd85,3,64,3,0,40,27,21,9,8,1,2,3,4,42,24,14,4,7,2,7
339,ms001,Brisbane,Hard,l0bv,3,13,3,0,15,10,10,2,3,0,0,0,0,9,9,4,0,2,0,1
339,ms003,Brisbane,Hard,l0bv,3,83,4,3,52,26,22,17,9,0,0,6,2,49,32,24,12,9,1,2
339,ms002,Brisbane,Hard,o522,3,86,12,2,64,45,38,13,11,4,4,10,5,69,48,38,9,10,1,2
339,ms004,Brisbane,Hard,o522,3,100,16,1,64,49,38,13,11,1,1,8,1,73,53,38,12,10,4,5
339,ms007,Brisbane,Hard,d875,3,43,1,1,31,21,19,5,5,0,0,1,1,26,12,7,6,5,1,4
339,ms006,Brisbane,Hard,l0bv,3,89,10,2,66,39,31,14,10,5,5,8,2,62,39,28,11,10,3,5
339,ms005,Brisbane,Hard,m0gz,3,92,19,2,72,47,37,18,12,0,0,10,5,78,48,38,16,12,1,2
339,ms008,Brisbane,Hard,d643,3,72,5,1,52,34,26,12,9,1,1,4,4,48,34,21,6,9,0,3
339,ms010,Brisbane,Hard,m0gz,3,92,20,4,75,50,40,11,11,2,2,6,2,72,38,31,16,11,2,3
339,ms011,Brisbane,Hard,m0ni,3,65,4,0,51,38,27,9,9,2,3,5,1,55,43,21,6,8,5,9
