er,name,age,elo,her,he,cer,ce,ger,ge
1,Jannik Sinner,23.4,2214.6,1,2180.7,3,2041.3,3,1969.0
2,Carlos Alcaraz,21.9,2165.9,3,2088.7,1,2126.0,1,2075.0
3,Novak Djokovic,37.8,2159.9,2,2113.9,2,2075.8,2,2036.4
4,Alexander Zverev,27.9,2074.4,4,2028.1,4,2015.2,5,1885.9
5,Jack Draper,23.2,2057.7,5,2014.7,27,1815.9,6,1878.6
6,Taylor Fritz,27.3,2022.2,6,1970.0,11,1928.2,7,1878.4
7,Daniil Medvedev,29.1,2005.5,7,1962.3,12,1921.1,4,1898.7
8,Alex De Minaur,26.1,1998.7,9,1934.8,14,1895.5,11,1834.3
9,Grigor Dimitrov,33.8,1994.1,8,1945.0,13,1911.2,15,1817.9
10,Holger Rune,21.9,1985.6,11,1923.5,8,1944.5,14,1822.7
11,Arthur Fils,20.8,1978.1,16,1899.6,9,1942.3,13,1825.1
12,Lorenzo Musetti,23.0,1973.3,28,1854.8,7,1951.2,8,1878.0
13,Joao Fonseca,18.5,1971.8,10,1932.7,21,1841.5,56,1666.4
14,Tommy Paul,27.8,1969.4,13,1915.0,18,1868.5,10,1872.8
15,Stefanos Tsitsipas,26.6,1961.4,17,1894.1,5,1974.8,18,1784.7
16,Tomas Machac,24.4,1960.5,12,1921.0,25,1828.9,24,1744.8
17,Matteo Berrettini,28.9,1956.2,20,1875.0,6,1954.7,9,1874.2
18,Ben Shelton,22.5,1932.7,19,1878.1,24,1834.0,26,1736.9
19,Jakub Mensik,19.6,1931.9,15,1907.5,34,1781.1,54,1667.8
20,Hubert Hurkacz,28.0,1930.6,21,1870.3,16,1881.5,12,1833.0
21,Ugo Humbert,26.8,1928.6,14,1912.4,35,1780.9,20,1774.2
22,Casper Ruud,26.3,1928.4,23,1866.4,10,1933.2,47,1687.4
23,Gael Monfils,38.5,1927.7,18,1892.5,50,1744.4,32,1722.6
24,Francisco Cerundolo,26.6,1922.3,25,1863.0,15,1884.0,34,1719.8
25,Tallon Griekspoor,28.7,1914.1,22,1867.6,26,1817.2,17,1787.8
26,Jiri Lehecka,23.4,1912.4,26,1862.0,37,1776.3,39,1706.2
27,Alejandro Davidovich Fokina,25.8,1909.2,30,1843.8,20,1843.6,55,1667.0
28,Andrey Rublev,27.4,1906.9,24,1866.3,17,1878.8,16,1792.3
29,Sebastian Korda,24.7,1894.2,29,1847.9,44,1754.1,19,1779.3
30,Karen Khachanov,28.8,1892.4,32,1841.8,19,1844.5,37,1709.3
31,Felix Auger Aliassime,24.6,1883.9,31,1843.2,23,1834.2,31,1725.4
32,Denis Shapovalov,25.9,1883.2,27,1856.1,40,1765.4,30,1726.0
33,Thanasi Kokkinakis,28.7,1872.6,34,1822.4,38,1771.4,65,1643.4
34,Rafael Nadal,38.4,1868.6,45,1775.2,22,1835.9,50,1684.3
35,Jordan Thompson,30.9,1867.1,33,1829.1,101,1643.7,21,1772.4
36,Alexei Popyrin,25.6,1856.3,40,1787.8,29,1800.4,42,1698.0
37,Alex Michelsen,20.5,1852.9,35,1806.5,113,1627.6,36,1716.1
38,Jenson Brooksby,24.4,1850.0,39,1790.2,31,1788.6,45,1694.4
39,Marcos Giron,31.7,1848.4,36,1805.0,77,1690.9,22,1763.1
40,Frances Tiafoe,27.2,1846.5,37,1803.0,43,1757.4,25,1744.6
41,Hamad Medjedovic,21.7,1832.4,42,1783.1,39,1770.0,58,1664.1
42,Zizou Bergs,25.8,1829.9,41,1787.5,53,1738.8,44,1696.7
43,Nuno Borges,28.1,1826.2,44,1776.2,36,1780.1,97,1597.1
44,Brandon Nakashima,23.6,1822.8,38,1790.4,60,1723.9,35,1717.5
45,Colton Smith,22.0,1817.5,50,1757.4,116,1621.0,87,1608.7
46,Fabian Marozsan,25.5,1816.1,57,1745.0,51,1740.9,89,1607.7
47,Learner Tien,19.3,1811.9,46,1771.1,159,1561.1,90,1605.9
48,Kamil Majchrzak,29.2,1809.4,62,1730.6,30,1793.8,43,1697.5
49,Marin Cilic,36.5,1808.1,53,1751.2,41,1762.5,23,1753.4
50,Roman Safiullin,27.6,1807.7,48,1759.7,57,1730.7,38,1706.6
51,Matteo Arnaldi,24.1,1806.5,43,1778.5,45,1753.7,63,1645.0
52,Yoshihito Nishioka,29.4,1802.8,47,1764.6,79,1687.4,66,1643.1
53,Miomir Kecmanovic,25.6,1798.2,55,1746.8,54,1738.6,57,1664.2
54,Reilly Opelka,27.6,1793.9,49,1757.4,52,1739.8,68,1638.8
55,Marton Fucsovics,33.1,1792.5,60,1736.0,46,1752.1,29,1727.0
56,David Goffin,34.3,1791.9,58,1744.9,55,1737.1,28,1728.1
57,Giovanni Mpetshi Perricard,21.7,1790.9,51,1753.4,90,1666.3,40,1706.0
58,Laslo Djere,29.8,1788.4,78,1693.7,32,1783.8,91,1604.8
59,Flavio Cobolli,22.9,1788.0,68,1718.9,48,1750.1,95,1600.3
60,Jacob Fearnley,23.7,1782.2,52,1751.8,156,1561.9,48,1686.1
61,Juncheng Shang,19.9,1781.5,61,1733.3,95,1658.1,53,1668.6
62,Sebastian Baez,24.2,1781.2,123,1618.1,28,1804.2,121,1561.1
63,Kei Nishikori,35.2,1780.4,56,1745.6,97,1652.6,75,1624.3
64,Quentin Halys,28.3,1780.2,64,1730.1,74,1693.5,41,1705.0
65,Luciano Darderi,23.1,1773.9,189,1533.6,33,1781.4,116,1573.2
66,Christopher Oconnell,30.8,1771.1,59,1737.7,83,1677.6,60,1655.9
67,Pablo Carreno Busta,33.7,1769.6,54,1748.2,47,1751.6,106,1582.5
68,Ethan Quinn,21.0,1767.3,74,1705.1,160,1560.1,85,1611.7
69,Roberto Bautista Agut,36.9,1767.2,70,1710.9,63,1720.0,27,1729.6
70,Cameron Norrie,29.6,1765.1,66,1728.0,42,1759.4,49,1685.6
71,Lorenzo Sonego,29.9,1763.9,63,1730.4,73,1693.9,61,1652.9
72,Borna Coric,28.4,1761.2,67,1727.5,66,1714.3,64,1643.7
73,Lucas Pouille,30.9,1758.9,69,1711.4,81,1680.8,51,1683.7
74,Raphael Collignon,23.2,1758.6,77,1696.5,67,1712.7,103,1583.8
75,Alexander Bublik,27.8,1751.8,71,1710.8,86,1673.2,33,1722.2
76,Jaume Munar,27.9,1750.9,86,1682.1,70,1709.6,135,1546.5
77,Alejandro Tabilo,27.8,1750.5,81,1689.6,64,1714.5,52,1673.7
