id,name,age,points,hand,backhand,height,weight
s0ag,Jannik Sinner,23,9930,R,2,191,77
a0e2,Carlos Alcaraz,21,7720,R,2,183,74
z355,Alexander Zverev,27,7595,R,2,198,90
fb98,Taylor Fritz,27,5280,R,2,196,86
d643,Novak Djokovic,37,4120,R,2,188,77
d0co,Jack Draper,23,3870,L,2,193,85
dh58,Alex de Minaur,26,3535,R,2,183,69
re44,Andrey Rublev,27,3490,R,2,188,75
mm58,Daniil Medvedev,29,3290,R,2,198,83
rh16,Casper Ruud,26,3215,R,2,183,81
m0ej,Lorenzo Musetti,23,3200,R,1,185,78
pl56,Tommy Paul,27,3160,R,2,185,82
r0dg,Holger Rune,21,3080,R,2,188,77
f0f1,Arthur Fils,20,2820,R,2,185,83
s0s1,Ben Shelton,22,2700,L,2,193,88
te51,Stefanos Tsitsipas,26,2645,R,1,193,90
d875,Grigor Dimitrov,33,2595,R,1,191,81
td51,Frances Tiafoe,27,2550,R,2,188,86
ag37,Felix Auger-Aliassime,24,2415,R,2,193,88
m0fh,Tomas Machac,24,2250,R,2,183,74
hh26,Ugo Humbert,26,2145,L,2,188,73
c0au,Francisco Cerundolo,26,2075,R,2,185,80
m0ni,Jakub Mensik,19,2032,R,2,196,87
k0ah,Sebastian Korda,24,1970,R,2,196,82
p09z,Alexei Popyrin,25,1860,R,2,196,78
l0bv,Jiri Lehecka,23,1795,R,2,185,81
ke29,Karen Khachanov,28,1760,R,2,198,87
hb71,Hubert Hurkacz,28,1755,R,2,196,81
su55,Denis Shapovalov,25,1726,L,1,185,75
dh50,Alejandro Davidovich Fokina,25,1680,R,2,180,80
te30,Alejandro Tabilo,27,1625,L,2,188,75
n0ae,Brandon Nakashima,23,1620,R,2,188,83
bk40,Matteo Berrettini,29,1620,R,2,196,95
m0gz,Giovanni Mpetshi Perricard,21,1579,R,1,203,98
b0bi,Sebastian Baez,24,1540,R,2,170,70
c0e9,Flavio Cobolli,22,1520,R,2,183,74
gj37,Tallon Griekspoor,28,1485,R,2,188,85
m0qi,Alex Michelsen,20,1445,R,2,193,79
tc61,Jordan Thompson,30,1415,R,2,183,82
mp20,Alexandre Muller,28,1378,R,2,183,75
bt72,Nuno Borges,28,1355,R,2,185,78
a0fc,Matteo Arnaldi,24,1340,R,2,185,71
mc65,Gael Monfils,38,1255,R,2,193,85
su87,Lorenzo Sonego,29,1245,R,2,191,76
gc88,Marcos Giron,31,1240,R,2,180,77
ea24,Tomas Martin Etcheverry,25,1185,R,2,196,82
d0fj,Luciano Darderi,23,1154,R,2,183,82
ki95,Miomir Kecmanovic,25,1141,R,2,183,75
mo44,Pedro Martinez,27,1130,R,2,185,76
bu13,Zizou Bergs,25,1071,R,2,185,88
sl28,Jan-Lennard Struff,34,1030,R,2,193,92
gb88,David Goffin,34,1021,R,2,180,70
bd06,Roberto Bautista Agut,36,1019,R,2,183,75
hb64,Quentin Halys,28,1005,R,2,191,85
cf59,Roberto Carballes Baena,32,1001,R,2,183,77
z371,Zhizhen Zhang,28,995,R,2,193,87
mu94,Jaume Munar,27,977,R,2,183,76
j551,Nicolas Jarry,29,965,R,2,201,90
f0fv,Joao Fonseca,18,947,R,2,188,81
u182,Camilo Ugo Carabelli,25,947,R,2,185,83
s0re,Juncheng Shang,20,938,L,2,180,73
c0df,Francisco Comesana,24,933,R,2,178,72
bm95,Benjamin Bonzi,28,908,R,2,183,82
y09v,Yunchaokete Bu,23,905,R,2,185,82
d923,Damir Dzumhur,32,899,R,2,175,68
n552,Kei Nishikori,35,898,R,2,178,73
b0gg,Mattia Bellucci,23,893,L,2,175,77
ae14,Daniel Altmaier,26,867,R,1,188,80
t0ha,Learner Tien,19,865,L,2,180,73
n0bs,Mariano Navone,24,865,R,2,178,73
n732,Yoshihito Nishioka,29,849,L,2,170,64
m0jf,Hamad Medjedovic,21,843,R,2,188,86
sx50,Roman Safiullin,27,831,R,2,185,75
f0by,Jacob Fearnley,23,820,R,2,183,80
rc91,Arthur Rinderknech,29,815,R,2,196,88
mw02,Corentin Moutet,25,809,L,2,180,71
m0ci,Fabian Marozsan,25,805,R,2,193,75
bk92,Alexander Bublik,27,805,R,2,196,82
k0az,Aleksandar Kovacevic,26,805,R,1,183,79
db63,Laslo Djere,29,797,R,2,188,82
d0f6,Gabriel Diallo,23,783,R,2,203,90
g09o,Hugo Gaston,24,776,L,2,173,68
c0jp,Raphael Collignon,23,761,R,2,191,86
v832,Aleksandar Vukic,29,758,R,2,188,85
h0bh,Rinky Hijikata,24,757,R,2,178,72
w09e,Adam Walton,25,749,R,2,183,77
o483,Christopher O'Connell,30,745,R,1,183,78
n771,Cameron Norrie,29,742,L,2,188,82
v812,Botic van de Zandschulp,29,705,R,2,191,85
f724,Marton Fucsovics,33,705,R,2,188,82
mq75,Kamil Majchrzak,29,670,R,2,183,80
d994,James Duckworth,33,654,R,2,183,82
mj08,Thiago Monteiro,30,628,L,2,183,78
d0c1,Jesper de Jong,24,622,R,2,180,70
ki82,Vit Kopriva,27,619,R,2,178,69
f0f2,Jaime Faria,21,611,R,0,188,78
l987,Dusan Lajovic,34,610,R,1,183,83
p0ct,Francesco Passaro,24,609,R,2,180,83
cd85,Pablo Carreno Busta,33,607,R,2,188,78
mk66,Mackenzie McDonald,29,601,R,2,178,73
da31,Hugo Dellien,31,601,R,2,180,75
n0bg,Luca Nardi,21,597,R,2,185,80
t0ap,Chun-Hsin Tseng,23,587,R,2,175,65
s0h2,Alexander Shevchenko,24,585,R,2,188,80
o522,Reilly Opelka,27,579,R,2,211,102
hd68,Billy Harris,30,576,R,2,193,89
