id,name,age,points,hand,backhand,height,weight
s0ag,Jannik Sinner,23,9930,R,2,191,77
z355,Alexander Zverev,28,8085,R,2,198,90
a0e2,Carlos Alcaraz,21,8050,R,2,183,74
fb98,Taylor Fritz,27,5115,R,2,196,86
d643,Novak Djokovic,37,4120,R,2,188,77
d0co,Jack Draper,23,3820,L,2,193,85
dh58,Alex de Minaur,26,3585,R,2,183,69
re44,Andrey Rublev,27,3530,R,2,188,75
r0dg,Holger Rune,21,3480,R,2,188,77
mm58,Daniil Medvedev,29,3290,R,2,198,83
m0ej,Lorenzo Musetti,23,3200,R,1,185,78
pl56,Tommy Paul,27,3160,R,2,185,82
s0s1,Ben Shelton,22,3020,L,2,193,88
f0f1,Arthur Fils,20,2920,R,2,185,83
rh16,Casper Ruud,26,2815,R,2,183,81
d875,Grigor Dimitrov,33,2595,R,1,191,81
td51,Frances Tiafoe,27,2550,R,2,188,86
te51,Stefanos Tsitsipas,26,2415,R,1,193,90
ag37,Felix Auger-Aliassime,24,2375,R,2,193,88
m0fh,Tomas Machac,24,2235,R,2,183,74
c0au,Francisco Cerundolo,26,2225,R,2,185,80
hh26,Ugo Humbert,26,2185,L,2,188,73
m0ni,Jakub Mensik,19,2032,R,2,196,87
k0ah,Sebastian Korda,24,2020,R,2,196,82
ke29,Karen Khachanov,28,1960,R,2,198,87
p09z,Alexei Popyrin,25,1860,R,2,196,78
l0bv,Jiri Lehecka,23,1795,R,2,185,81
hb71,Hubert Hurkacz,28,1755,R,2,196,81
dh50,Alejandro Davidovich Fokina,25,1745,R,2,180,80
su55,Denis Shapovalov,26,1726,L,1,185,75
bk40,Matteo Berrettini,29,1620,R,2,196,95
n0ae,Brandon Nakashima,23,1605,R,2,188,83
b0bi,Sebastian Baez,24,1580,R,2,170,70
gj37,Tallon Griekspoor,28,1575,R,2,188,85
te30,Alejandro Tabilo,27,1525,L,2,188,75
c0e9,Flavio Cobolli,22,1520,R,2,183,74
m0gz,Giovanni Mpetshi Perricard,21,1464,R,1,203,98
m0qi,Alex Michelsen,20,1445,R,2,193,79
mp20,Alexandre Muller,28,1366,R,2,183,75
tc61,Jordan Thompson,31,1365,R,2,183,82
bt72,Nuno Borges,28,1355,R,2,185,78
mc65,Gael Monfils,38,1255,R,2,193,85
su87,Lorenzo Sonego,29,1245,R,2,191,76
a0fc,Matteo Arnaldi,24,1240,R,2,185,71
gc88,Marcos Giron,31,1240,R,2,180,77
d0fj,Luciano Darderi,23,1229,R,2,183,82
ki95,Miomir Kecmanovic,25,1166,R,2,183,75
mo44,Pedro Martinez,27,1130,R,2,185,76
gb88,David Goffin,34,1121,R,2,180,70
bu13,Zizou Bergs,25,1096,R,2,185,88
ea24,Tomas Martin Etcheverry,25,1010,R,2,196,82
hb64,Quentin Halys,28,1005,R,2,191,85
mu94,Jaume Munar,27,1002,R,2,183,76
z371,Zhizhen Zhang,28,995,R,2,193,87
bd06,Roberto Bautista Agut,37,979,R,2,183,75
cf59,Roberto Carballes Baena,32,976,R,2,183,77
j551,Nicolas Jarry,29,965,R,2,201,90
m0ci,Fabian Marozsan,25,955,R,2,193,75
u182,Camilo Ugo Carabelli,25,947,R,2,185,83
s0re,Juncheng Shang,20,922,L,2,180,73
m0jf,Hamad Medjedovic,21,911,R,2,188,86
bm95,Benjamin Bonzi,28,908,R,2,183,82
d923,Damir Dzumhur,32,906,R,2,175,68
n552,Kei Nishikori,35,898,R,2,178,73
f0fv,Joao Fonseca,18,897,R,2,188,81
b0gg,Mattia Bellucci,23,893,L,2,175,77
ae14,Daniel Altmaier,26,892,R,1,188,80
f0by,Jacob Fearnley,23,883,R,2,183,80
t0ha,Learner Tien,19,880,L,2,180,73
c0df,Francisco Comesana,24,872,R,2,178,72
db63,Laslo Djere,29,872,R,2,188,82
y09v,Yunchaokete Bu,23,869,R,2,185,82
sx50,Roman Safiullin,27,856,R,2,185,75
n732,Yoshihito Nishioka,29,849,L,2,170,64
bk92,Alexander Bublik,27,820,R,2,196,82
rc91,Arthur Rinderknech,29,809,R,2,196,88
k0az,Aleksandar Kovacevic,26,805,R,1,183,79
d0f6,Gabriel Diallo,23,791,R,2,203,90
sl28,Jan-Lennard Struff,34,790,R,2,193,92
g09o,Hugo Gaston,24,776,L,2,173,68
c0jp,Raphael Collignon,23,776,R,2,191,86
mw02,Corentin Moutet,26,759,L,2,180,71
v832,Aleksandar Vukic,29,758,R,2,188,85
h0bh,Rinky Hijikata,24,754,R,2,178,72
n0bs,Mariano Navone,24,750,R,2,178,73
w09e,Adam Walton,26,749,R,2,183,77
o483,Christopher O'Connell,30,745,R,1,183,78
v812,Botic van de Zandschulp,29,743,R,2,191,85
d994,James Duckworth,33,721,R,2,183,82
mq75,Kamil Majchrzak,29,669,R,2,183,80
n771,Cameron Norrie,29,667,L,2,188,82
s0h2,Alexander Shevchenko,24,648,R,2,188,80
d0c1,Jesper de Jong,24,639,R,2,180,70
mj08,Thiago Monteiro,30,628,L,2,183,78
ki82,Vit Kopriva,27,619,R,2,178,69
cd85,Pablo Carreno Busta,33,607,R,2,188,78
mk66,Mackenzie McDonald,30,601,R,2,178,73
t0ap,Chun-Hsin Tseng,23,599,R,2,175,65
da31,Hugo Dellien,31,599,R,2,180,75
n0bg,Luca Nardi,21,597,R,2,185,80
p0ct,Francesco Passaro,24,596,R,2,180,83
hd68,Billy Harris,30,581,R,2,193,89
o522,Reilly Opelka,27,579,R,2,211,102
cg80,Borna Coric,28,576,R,2,188,85
f0f2,Jaime Faria,21,576,R,0,188,78
kd46,Thanasi Kokkinakis,29,573,R,2,193,84
b0nn,Nishesh Basavareddy,19,571,R,2,180,73
e865,Christopher Eubanks,28,565,R,1,201,82
c977,Marin Cilic,36,563,R,2,198,89
h09p,Brandon Holt,27,561,R,2,185,82
pf39,Lucas Pouille,31,539,R,2,185,84
f510,Fabio Fognini,37,536,R,2,178,79
sx91,Thiago Seyboth Wild,25,532,R,2,185,80
m0k4,Elmer Moller,21,522,R,2,183,73
ge33,Daniel Elahi Galan,28,521,R,2,191,72
c0h0,Arthur Cazaux,22,508,R,2,183,73
mw75,Felipe Meligeni Alves,27,506,R,2,185,85
r0eb,Valentin Royer,23,504,R,2,188,86
q02l,Ethan Quinn,21,494,R,2,191,82
b0ej,Tristan Boyer,24,493,R,2,188,84
k09f,Pavel Kotov,26,487,R,2,191,89
s0n0,Tristan Schoolkate,24,484,R,2,183,83
h997,Yannick Hanfmann,33,478,R,2,193,86
me82,Adrian Mannarino,36,476,L,2,180,79
s0ja,Eliot Spizzirri,23,476,R,2,185,79
c0c8,Juan Manuel Cerundolo,23,469,L,2,183,75
s0gd,Dalibor Svrcina,22,466,R,2,178,68
bs86,Tomas Barrios Vera,27,463,R,2,191,88
v0am,Otto Virtanen,23,455,R,2,193,82
f724,Marton Fucsovics,33,455,R,2,188,82
da81,Taro Daniel,32,453,R,2,191,84
n0am,Emilio Nava,23,453,R,2,185,79
k0ep,Jerome Kym,22,448,R,2,198,87
t0a1,Thiago Agustin Tirante,24,441,R,2,185,81
rc04,Alexander Ritschard,31,435,R,2,193,82
a0gc,Terence Atmane,23,434,L,2,193,80
gj16,Federico Agustin Gomez,28,429,R,2,191,95
l987,Dusan Lajovic,34,426,R,1,183,83
ce77,Federico Coria,33,425,R,2,180,73
te16,Carlos Taberner,27,423,R,2,183,78
ph71,Max Purcell,27,421,R,2,185,80
b0fv,Roman Andres Burruchaga,23,420,R,2,183,80
g628,Richard Gasquet,38,404,R,1,183,79
mw18,Nicolas Moreno De Alboran,27,398,R,2,185,82
fa43,Juan Pablo Ficovich,28,395,R,2,188,80
m0hu,Shintaro Mochizuki,21,390,R,2,175,70
h996,Pierre-Hugues Herbert,34,389,R,2,188,75
l0il,Martin Landaluce,19,388,R,2,193,80
g0fw,Vilius Gaubas,20,387,R,2,178,72
kc12,Mitchell Krueger,31,384,R,2,188,82
b0pg,Alexander Blockx,20,384,R,2,193,83
j0az,Kyrian Jacquet,23,382,R,2,175,71
o513,Sebastian Ofner,28,378,R,2,191,81
hh06,Marc-Andrea Huesler,28,369,L,2,196,86
pg20,Dmitry Popko,28,365,R,2,191,87
d0dp,Liam Draxl,23,364,R,2,185,79
bg23,Nikoloz Basilashvili,33,361,R,2,185,79
w367,Stan Wawrinka,40,355,R,1,183,81
m0ht,Alejandro Moro Canas,24,355,R,2,183,78
m0g4,Harold Mayot,23,354,R,2,180,80
s0ze,Colton Smith,22,347,R,2,183,77
k926,Mikhail Kukushkin,37,341,R,2,183,72
b0cd,Jenson Brooksby,24,340,R,2,193,86
tc01,Li Tu,28,333,R,1,183,80
n897,Sumit Nagal,27,332,R,2,178,69
hg86,Lloyd Harris,28,325,R,2,193,80
a0cj,Duje Ajdukovic,24,323,R,2,188,78
kc04,Jozef Kovalik,32,322,R,2,183,82
w0bh,Coleman Wong,20,322,R,2,191,80
t0bw,James Trotter,25,322,R,0,183,75
hb48,Calvin Hemery,30,322,R,2,191,83
s0gr,Timofey Skatov,24,315,R,2,175,72
ki63,Lukas Klein,27,313,R,0,193,85
hf80,Hady Habib,26,310,R,2,188,88
gf95,Hugo Grenier,29,307,R,2,196,85
m0oq,James McCabe,21,306,R,2,188,82
r0e0,Chris Rodesch,23,306,R,2,198,93
h0du,Gustavo Heide,23,300,R,2,191,83
v0dz,Luca Van Assche,20,299,R,2,178,72
lb66,Constant Lestienne,32,299,R,2,180,71
s0aq,Yuta Shimizu,25,299,L,2,163,62
bv16,Ugo Blanchet,26,296,R,2,175,71
ch12,Jan Choinski,28,295,R,2,196,88
m0jz,Filip Misolic,23,294,R,2,180,75
k0e6,Alibek Kachmazov,22,294,R,0,185,81
h09n,August Holmgren,26,293,R,1,188,84
kc56,Aslan Karatsev,31,292,R,2,185,85
sy67,Sho Shimabukuro,27,292,R,2,180,78
ta29,Marco Trungelliti,35,292,R,2,178,80
mj98,Facundo Mena,32,292,R,2,183,78
n0cs,Lukas Neumayer,22,291,R,2,183,70
b0er,Arthur Bouquier,24,290,R,2,188,86
ke73,Dominik Koepfer,30,288,L,2,180,79
d0cg,Facundo Diaz Acosta,24,287,L,2,183,75
g0gd,Matteo Gigante,23,284,L,2,180,68
df88,Aziz Dougaz,28,284,L,2,188,82
e687,Daniel Evans,34,283,R,1,175,75
r0go,Henrique Rocha,21,283,R,2,180,83
l0gh,Mark Lajal,21,279,R,2,191,80
a0ba,Federico Arnaboldi,24,277,R,2,185,78
gk06,Alexis Galarneau,26,277,R,2,180,79
m0ea,Pol Martin Tiffon,25,276,R,2,183,73
d0dw,Titouan Droguet,23,272,R,2,191,80
c0ht,Murphy Cassone,22,271,R,2,188,79
g0dh,Alvaro Guillen Meza,22,271,R,2,175,73
bo10,Gijs Brouwer,29,268,L,2,191,73
o0a2,Gauthier Onclin,24,267,R,2,180,77
z09z,Beibit Zhukayev,24,267,R,2,198,93
u134,Yasutaka Uchiyama,32,266,R,2,183,78
b0id,Ignacio Buse,21,266,R,2,183,78
j553,Omar Jasika,27,265,L,2,183,60
b0mm,Edas Butvilas,20,265,R,2,191,78
wb08,Yosuke Watanuki,27,264,R,2,180,73
gd64,Cristian Garin,28,264,R,2,185,85
cc66,Andrea Collarini,33,264,L,2,183,78
