rank,pId,name,country,points
1,50810,Jannik Sinner,ITA,11830
2,644,Alexander Zverev,GER,7915
3,52602,Carlos Alcaraz Garfia,ESP,7010
4,26006,Taylor Harry Fritz,USA,5100
5,6407,Daniil Medvedev,RUS,5030
6,34553,Casper Ruud,NOR,4255
7,4920,Novak Djokovic,SRB,3910
8,25897,Andrey Rublev,RUS,3760
9,45105,Alex De Minaur,AUS,3745
10,5763,Grigor Dimitrov,BUL,3350
11,26577,Stefanos Tsitsipas,GRE,3165
12,26008,Tommy Paul,USA,3145
13,52642,Holger Vitus Nodskov Rune,DEN,3025
14,44829,Ugo Humbert,FRA,2765
15,52347,Jack Draper,GBR,2685
16,27834,Hubert Hurkacz,POL,2640
17,52132,Lorenzo Musetti,ITA,2600
18,26010,Frances Tiafoe,USA,2585
19,11547,Karen Khachanov,RUS,2410
20,54517,Arthur Fils,FRA,2355
21,54586,Ben Shelton,USA,2330
22,45446,Sebastian Korda,USA,1985
23,26017,Alejandro Tabilo,CHI,1943
24,45437,Alexei Popyrin,AUS,1865
25,52444,Tomas Machac,CZE,1758
26,11415,Jordan Thompson,AUS,1745
27,46888,Sebastian Baez,ARG,1690
28,52716,Jiri Lehecka,CZE,1660
29,44824,Felix Auger Aliassime,CAN,1635
30,46887,Francisco Cerundolo,ARG,1620
31,53270,Giovanni Mpetshi Perricard,FRA,1561
32,52539,Flavio Cobolli,ITA,1472
33,22171,Alexander Bublik,KAZ,1420
34,26413,Matteo Berrettini,ITA,1380
35,11769,Nicolas Jarry,CHI,1370
36,32470,Nuno Borges,POR,1355
37,52898,Harry Thursfield,ITA,1345
38,51544,Brandon Nakashima,USA,1335
39,44642,Tomas Martin Etcheverry,ARG,1315
40,34651,Tallon Griekspoor,NED,1280
41,54636,Alex Michelsen,USA,1245
42,5515,Jan Lennard Struff,GER,1240
43,23912,Pedro Martinez Portero,ESP,1205
44,53856,Luciano Darderi,ITA,1198
45,11164,Zhizhen Zhang,CHN,1155
46,6204,Marcos Giron,USA,1150
47,52974,Mariano Navone,ARG,1148
48,54637,Jakub Mensik,CZE,1136
49,11787,Cameron Norrie,GBR,1119
50,54582,Juncheng Shang,CHN,1115
51,5131,Roberto Bautista Agut,ESP,1104
52,5663,David Goffin,BEL,1037
53,32067,Lorenzo Sonego,ITA,1026
54,44999,Miomir Kecmanovic,SRB,1021
55,4789,Gael Monfils,FRA,1005
56,33214,Denis Shapovalov,CAN,981
57,6134,Roberto Carballes Baena,ESP,981
58,51318,Fabian Marozsan,HUN,935
59,26042,Arthur Rinderknech,FRA,927
60,25931,Roman Safiullin,RUS,923
61,45045,Alejandro Davidovich Fokina,ESP,845
62,44493,Jaume Munar,ESP,832
63,53678,Arthur Cazaux,FRA,807
64,6317,Christopher Oconnell,AUS,795
65,51966,Bu Yunchaokete,CHN,784
66,5166,Adrian Mannarino,FRA,779
67,24019,Alexandre Muller,FRA,778
68,26648,Aleksandar Vukic,AUS,778
69,6401,Yoshihito Nishioka,JPN,776
70,44668,Corentin Moutet,FRA,772
71,45090,Zizou Bergs,BEL,768
72,11433,Quentin Halys,FRA,756
73,52627,Rinky Hijikata,AUS,746
74,50371,Thiago Seyboth Wild,BRA,732
75,25930,Benjamin Bonzi,FRA,730
76,45206,Hugo Gaston,FRA,717
77,6409,Thanasi Kokkinakis,AUS,716
78,52300,Alexander Shevchenko,KAZ,715
79,52294,Facundo Diaz Acosta,ARG,714
80,22139,Botic Van De Zandschulp,NED,712
81,5571,Dusan Lajovic,SRB,710
82,5888,James Duckworth,AUS,687
83,5986,Damir Dzumhur,BIH,679
84,6107,Taro Daniel,JPN,674
85,52295,Francisco Comesana,ARG,661
86,45126,Pavel Kotov,RUS,655
87,53719,Gabriel Diallo,CAN,643
88,23949,Sebastian Ofner,AUT,643
89,26959,Daniel Altmaier,GER,640
90,6418,Borna Coric,CRO,639
91,4921,Fabio Fognini,ITA,637
92,52747,Luca Nardi,ITA,637
93,45265,Adam Walton,AUS,636
94,47044,Otto Virtanen,FIN,634
95,45148,Emil Ruusuvuori,FIN,628
96,5856,Yannick Hanfmann,GER,627
97,44940,Camilo Ugo Carabelli,ARG,624
98,11548,Sumit Nagal,IND,622
99,52598,Jacob Fearnley,GBR,622
100,5934,Federico Coria,ARG,617
101,6284,Lucas Pouille,FRA,616
102,36221,Dominik Koepfer,GER,610
103,52846,Mattia Bellucci,ITA,605
104,5902,Marton Fucsovics,HUN,597
105,26647,Max Purcell,AUS,591
106,5442,Kei Nishikori,JPN,578
107,11127,Christopher Eubanks,USA,572
108,53470,Francesco Passaro,ITA,570
109,6315,Thiago Monteiro,BRA,566
110,34240,Nicolas Moreno De Alboran,USA,556
111,51136,Aleksandar Kovacevic,USA,554
112,52025,Jesper De Jong,NED,548
113,5055,Mikhail Kukushkin,KAZ,542
114,53705,Hamad Medjedovic,SRB,536
115,11485,Laslo Djere,SRB,519
116,52617,Harold Mayot,FRA,518
117,46842,Thiago Agustin Tirante,ARG,515
118,6296,Alexander Ritschard,SUI,513
119,47141,Chun Hsin Tseng,TPE,509
120,11766,Kamil Majchrzak,POL,506
121,54487,Raphael Collignon,BEL,500
122,54590,Learner Tien,USA,493
123,54706,Jaime Faria,POR,489
124,6184,Hugo Dellien,BOL,488
125,25932,Billy Harris,GBR,474
126,23588,Daniel Elahi Galan Riveros,COL,473
127,6061,Jozef Kovalik,SVK,472
128,54003,Luca Van Assche,FRA,471
129,4752,Richard Gasquet,FRA,470
130,45063,Vit Kopriva,CZE,465
131,11429,Mackenzie Mcdonald,USA,464
132,44524,Lloyd George Muirhead Harris,RSA,457
133,52343,Tristan Boyer,USA,452
134,53454,Jerome Kym,SUI,451
135,54424,Leandro Riedi,SUI,449
136,27560,Lukas Klein,SVK,443
137,44643,Federico Agustin Gomez,ARG,442
138,54721,Nishesh Basavareddy,USA,440
139,52292,Juan Manuel Cerundolo,ARG,428
140,45295,Valentin Vacherot,MON,426
141,53857,Matteo Gigante,ITA,424
142,51827,Duje Ajdukovic,CRO,422
143,5466,Marco Trungelliti,ARG,417
144,5476,Facundo Bagnis,ARG,414
145,54599,Joao Fonseca,BRA,409
146,6020,Yasutaka Uchiyama,JPN,398
147,6269,Mitchell Krueger,USA,396
148,5718,Pierre Hugues Herbert,FRA,391
149,45158,Felipe Meligeni Rodrigues Alves,BRA,389
150,11777,Seong Chan Hong,KOR,389
151,54594,Martin Landaluce,ESP,383
152,6412,Christian Garin,CHI,382
153,4742,Rafael Nadal,ESP,380
154,44416,Marcelo Tomas Barrios Vera,CHI,380
155,26212,Hugo Grenier,FRA,379
156,53493,Roman Andres Burruchaga,ARG,378
157,6095,Alex Bolt,AUS,377
158,53874,Terence Atmane,FRA,376
159,44591,Marc Andrea Huesler,SUI,376
160,53879,Elmer Moller,DEN,372
161,4526,Stan Wawrinka,SUI,371
162,6282,Gregoire Barrere,FRA,371
163,5420,Radu Albot,MDA,369
164,5543,Daniel Evans,GBR,364
165,5070,Albert Ramos,ESP,359
166,52873,Zachary Svajda,USA,352
167,9286,Stefano Napolitano,ITA,349
168,53858,Tristan Schoolkate,AUS,345
169,52892,Alejandro Moro Canas,ESP,345
170,53999,Coleman Wong,HKG,340
171,54635,Henrique Rocha,POR,334
172,52972,Gustavo Heide,BRA,332
173,23661,Jan Choinski,GBR,330
174,11427,Li Tu,AUS,329
175,45336,Jurij Rodionov,AUT,327
176,33618,Gijs Brouwer,NED,326
177,47043,Henri Squire,GER,325
178,17200,Omar Jasika,AUS,323
179,5220,Marin Cilic,CRO,323
180,54441,Maks Kasnikowski,POL,318
181,21919,Dmitry Popko,KAZ,318
182,52782,Titouan Droguet,FRA,315
183,23794,Murkel Alejandro Dellien Velasco,BOL,314
184,9719,Maximilian Marterer,GER,313
185,51340,Paul Jubb,GBR,311
186,53751,Vilius Gaubas,LTU,311
187,26466,Juan Pablo Ficovich,ARG,308
188,5991,Constant Lestienne,FRA,307
189,51525,Clement Chidekh,FRA,304
190,45469,Sho Shimabukuro,JPN,303
191,52222,Timofey Skatov,KAZ,299
192,46906,Yuta Shimizu,JPN,299
193,53000,James Trotter,JPN,298
194,52843,Alibek Kachmazov,RUS,296
195,26338,Carlos Taberner,ESP,296
196,5793,Pablo Carreno Busta,ESP,292
197,52928,Valentin Royer,FRA,292
198,45409,Brandon Holt,USA,286
199,45394,Nick Hardt,DOM,286
200,45238,August Holmgren,DEN,286
201,23754,Calvin Hemery,FRA,283
202,54593,Ethan Quinn,USA,280
203,54640,Alexander Blockx,BEL,280
204,5897,Andrea Collarini,ARG,280
